ID,Sensor1,Sensor2,Sensor3,Sensor4,Compound
1,7724200,19702100,24094500,239833,Acetone
2,7732180,20105200,23921400,239807,Acetone
3,7715400,19960900,23898700,239504,Acetone
4,7765770,19935600,23244900,239611,Acetone
5,7713900,19939200,23230600,239121,Acetone
6,7668770,20131300,23661500,238942,Acetone
7,7680430,19891200,24438300,239002,Acetone
8,7685920,19946200,23650000,238661,Acetone
9,7659660,20084000,23766200,238489,Acetone
10,7639480,19950700,23848100,238535,Acetone
11,7644950,20073100,23710800,238229,Acetone
12,7569110,20065500,23717600,238246,Acetone
13,7588280,20089300,23829700,237902,Acetone
14,7581090,20072100,23695800,237750,Acetone
15,7559400,20059000,23854700,237885,Acetone
16,7591430,20038700,23858300,237763,Acetone
17,7601670,20060000,23897500,237755,Acetone
18,7608740,19948100,23841300,237642,Acetone
19,7577760,19779200,23543800,237595,Acetone
20,7560900,19965200,23697000,237289,Acetone
21,7619450,19891500,23513500,237282,Acetone
22,7638290,19762600,23458700,237133,Acetone
23,7587720,19941200,23588600,236991,Acetone
24,7564950,19859600,23558900,236771,Acetone
25,7540580,19723300,23542400,236537,Acetone
26,7539880,19941500,23500700,236349,Acetone
27,7523010,19704200,23581100,236191,Acetone
28,7501000,19685100,23701300,236006,Acetone
29,7516150,19785100,23553900,235832,Acetone
30,7476440,19682700,23632100,235668,Acetone
31,7446170,19985100,23526400,235499,Acetone
32,7462280,19712100,23542900,235302,Acetone
33,7448000,19759200,23554300,235486,Acetone
34,7458320,19787600,23664400,235192,Acetone
35,7523200,19817400,23617100,235028,Acetone
36,7513160,19713100,23586800,234971,Acetone
37,7459800,19559900,23742800,235019,Acetone
38,7441170,19412800,23656100,234845,Acetone
39,7443220,19589200,23589300,234984,Acetone
40,7450720,19227300,23484100,234694,Acetone
41,7485910,19714400,23553300,234637,Acetone
42,7445500,19548100,23578200,234708,Acetone
43,7463980,19503100,23629200,234409,Acetone
44,7445320,19430300,23612900,233897,Acetone
45,7429250,19291900,23633300,234040,Acetone
46,7464120,19263200,23666800,233773,Acetone
47,7476020,19389300,23697800,233686,Acetone
48,7484650,19668100,23633800,233665,Acetone
49,7466750,19369800,23719200,233511,Acetone
50,7611080,19424300,23850200,233446,Acetone
51,7335940,19300900,23745600,233454,Acetone
52,7511280,19188300,23721800,233171,Acetone
53,7461820,19247300,23770300,233001,Acetone
54,7438610,19271000,23688400,233050,Acetone
55,7473400,19404700,23636700,232981,Acetone
56,7457690,19228900,23568000,232693,Acetone
57,7448460,19277800,23627700,232556,Acetone
58,7399260,19395200,23667600,232257,Acetone
59,7409830,19784600,23695700,232103,Acetone
